,age,job,marital,education,housing,loan
138,95,75,70,92,55,100
139,50,65,70,64,55,100
140,50,75,70,92,100,55
141,100,75,70,92,100,100
142,90,85,100,85,100,100
143,55,75,80,92,100,100
144,100,70,80,85,100,100
145,90,65,100,78,100,100
146,100,70,100,85,55,55
147,90,75,100,78,55,55
148,50,50,100,78,55,55
149,90,85,70,100,100,100
150,50,60,100,64,55,100
151,55,65,100,64,100,100
152,100,85,100,85,100,100
153,100,52,80,100,100,100
154,100,75,80,100,100,100
155,50,65,100,64,100,100
156,100,65,100,78,55,100
157,50,70,100,50,100,100
158,50,75,80,50,55,100
159,100,85,80,85,100,55
160,100,52,100,85,100,100
161,50,85,80,85,100,100
162,50,85,80,85,55,100
163,100,85,80,85,55,100
164,50,70,70,85,55,100
165,50,85,100,85,100,100
166,100,85,100,100,100,100
167,50,65,70,64,55,100
168,50,70,100,85,100,100
169,50,85,100,85,100,55
170,50,65,100,92,55,100
171,95,85,100,100,100,100
172,60,70,100,92,55,100
173,90,70,80,85,50,50
174,90,75,100,92,55,100
175,50,75,100,100,100,100
176,90,65,100,78,100,55
177,60,80,80,92,100,100
178,55,85,80,50,55,100
179,50,65,100,78,55,100
180,100,90,100,100,100,55
181,90,100,100,100,100,100
182,50,75,100,50,100,100
183,50,90,100,64,100,100
184,50,80,100,85,55,100
185,90,90,100,100,100,100
186,90,85,100,85,100,100
187,50,65,100,71,100,100
188,50,95,100,85,55,100
189,50,65,100,71,55,100
190,100,65,80,78,55,100
191,90,60,100,64,100,100
192,90,75,100,92,100,100
193,50,70,80,78,55,100
194,95,65,100,71,100,100
195,60,65,100,78,55,100
196,50,65,70,85,100,55
197,90,75,100,92,55,100
198,95,75,100,100,100,100
199,100,55,80,100,55,100
200,55,55,80,85,55,100
201,50,85,70,78,55,100
202,90,95,100,100,100,100
203,50,70,100,78,55,100
204,55,85,80,85,100,100
205,100,65,80,71,100,100
206,50,90,100,64,100,100
207,95,90,100,100,100,100
208,50,70,100,92,100,100
209,100,65,100,50,55,100
210,90,100,100,100,100,100
211,90,70,100,85,100,100
212,100,75,100,92,55,100
213,90,65,70,78,100,100
214,55,85,100,100,55,100
215,55,70,80,100,55,100
216,90,90,100,100,100,55
217,100,85,80,100,100,100
218,50,65,100,78,55,100
219,50,80,100,78,55,100
220,55,55,80,85,55,55
221,100,100,80,100,55,55
222,90,85,100,92,55,100
223,95,90,100,71,55,100
224,50,65,70,50,55,100
225,95,75,80,92,100,100
226,60,80,100,64,55,100
227,100,65,100,64,100,100
228,50,80,80,64,55,100
229,90,50,80,78,100,100
230,100,65,100,50,55,100
231,100,70,100,85,55,100
232,90,52,100,50,55,100
233,100,85,80,100,100,100
234,60,80,100,64,100,100
235,55,65,100,78,100,100
236,100,65,80,71,100,100
237,50,70,100,85,100,100
238,90,70,100,85,55,100
239,50,50,100,64,55,55
240,50,65,100,78,55,100
241,95,75,100,92,55,100
242,100,70,100,85,55,100
243,50,90,100,100,55,100
244,95,75,80,92,100,100
245,50,65,70,71,100,100
246,100,60,80,100,55,100
247,90,85,100,78,55,100
248,95,95,100,78,100,55
249,90,85,100,85,55,100
250,50,85,70,100,100,100
251,95,85,100,100,100,100
252,55,75,100,92,55,100
253,90,90,100,50,55,100
254,55,75,80,100,100,55
255,55,90,100,100,100,55
256,90,85,100,85,55,100
257,60,65,100,50,100,100
258,100,85,80,85,100,100
259,95,95,100,100,100,55
260,60,75,100,78,55,100
261,100,75,100,92,100,100
262,50,85,100,92,55,100
263,60,65,100,78,100,100
264,55,85,80,100,100,100
265,60,70,100,85,55,100
266,55,52,80,100,55,100
267,100,52,100,85,100,100
268,90,65,100,64,55,100
269,50,60,100,85,55,100
270,95,85,80,100,55,100
271,50,65,100,71,100,55
272,60,80,50,64,55,100
273,100,70,100,85,55,100
274,55,75,80,85,100,55
275,100,70,100,85,100,100
276,90,65,100,64,55,100
277,100,85,80,100,100,100
278,55,55,80,78,100,100
279,55,100,100,100,100,100
280,90,65,100,64,100,100
281,60,90,100,64,100,55
282,100,95,80,100,55,100
283,90,95,100,78,55,100
284,50,75,100,85,100,100
285,55,60,80,85,100,55
286,55,65,100,78,100,55
287,95,65,80,71,55,100
288,60,75,100,92,55,100
289,55,65,100,71,55,100
290,95,65,80,78,55,100
291,50,85,100,92,55,100
292,55,75,80,100,100,100
293,90,90,100,100,100,100
294,50,65,100,64,100,100
295,90,90,100,100,100,100
296,55,85,80,100,100,55
297,55,65,80,78,100,100
298,50,75,80,50,55,100
299,55,52,80,100,100,100
300,100,75,100,92,55,100
301,50,100,100,100,100,55
302,60,80,100,78,55,100
303,55,85,80,85,100,100
304,95,95,100,100,55,100
305,90,65,100,50,100,55
306,50,65,70,50,100,100
307,55,85,80,100,55,100
308,95,65,100,78,55,100
309,50,85,100,100,100,100
310,100,85,80,100,100,100
311,50,85,100,100,100,55
312,100,75,100,100,100,100
313,90,85,70,85,55,100
314,50,80,70,64,100,100
315,55,85,80,100,100,100
316,55,65,80,85,100,100
317,100,85,100,100,55,100
318,50,85,100,100,100,100
319,100,100,100,78,55,100
320,95,65,100,78,55,100
321,50,60,70,71,100,100
322,95,85,70,100,55,100
323,95,70,100,85,55,100
324,100,65,100,85,100,100
325,55,85,100,100,55,100
326,55,85,80,100,100,100
327,60,75,100,92,55,100
328,60,70,100,85,100,100
329,95,85,80,100,55,100
330,50,85,100,100,55,100
331,55,95,80,100,55,100
332,90,100,100,100,55,100
333,50,90,100,100,100,100
334,95,65,70,71,55,100
335,50,100,70,100,55,100
336,90,85,100,85,55,100
337,90,52,100,100,100,100
338,50,80,100,64,55,100
339,90,75,70,92,100,100
340,100,85,100,85,100,100
341,90,75,100,85,100,100
342,100,70,100,71,55,100
343,55,70,80,78,55,55
344,50,50,100,50,100,100
345,90,65,100,78,55,100
346,50,95,100,64,55,55
347,95,65,100,85,55,100
348,50,65,100,64,100,55
349,50,85,70,100,55,100
350,90,85,100,100,55,100
351,50,75,100,78,100,100
352,50,85,100,100,100,100
353,50,75,100,92,100,100
354,50,50,100,71,55,100
355,100,100,100,100,55,100
356,55,70,100,85,55,100
357,90,85,70,85,100,100
358,100,85,80,100,55,100
359,100,70,100,78,55,100
360,100,85,80,100,100,100
361,95,65,100,92,100,55
362,50,52,100,85,100,100
363,50,70,80,64,100,55
364,50,75,100,92,100,100
365,90,65,100,64,55,100
366,55,85,100,85,100,100
367,50,90,100,100,100,55
368,55,90,80,100,100,100
369,95,65,100,71,100,100
370,90,85,70,100,55,100
371,100,70,70,85,100,100
372,50,52,100,64,100,100
373,95,65,100,78,100,100
374,50,90,70,64,55,100
375,100,75,80,92,50,50
376,50,100,100,92,55,100
377,50,65,100,78,100,100
378,95,85,100,100,55,100
379,95,85,70,85,55,100
380,90,65,100,78,100,100
381,100,52,100,85,55,100
382,100,85,80,85,100,100
383,60,70,70,50,55,100
384,95,85,80,50,55,55
385,90,52,100,64,55,100
386,100,70,100,85,50,50
387,55,75,80,100,55,100
388,95,85,70,85,100,55
389,50,85,100,85,55,100
390,95,90,100,100,100,100
391,95,75,80,100,55,100
392,95,95,100,78,100,55
393,95,75,100,85,100,100
394,50,85,100,78,55,100
395,100,85,80,100,55,100
396,100,65,100,78,100,100
397,95,85,80,85,55,55
398,50,95,70,100,55,55
399,100,85,80,100,55,100
400,50,90,70,100,55,100
401,50,95,80,78,55,100
402,100,75,80,100,100,100
403,90,85,80,100,100,100
404,90,75,100,92,55,55
405,60,80,100,64,100,100
406,50,65,100,64,100,100
407,95,75,70,92,100,100
408,50,75,100,71,55,55
409,50,100,100,64,55,100
410,50,65,100,50,100,100
411,95,65,100,50,55,55
412,50,65,100,64,55,100
413,95,85,80,100,55,100
414,95,65,100,71,100,100
415,90,85,100,85,55,100
416,90,65,100,64,55,55
417,100,75,80,100,55,100
418,90,75,70,64,100,100
419,55,90,80,100,100,100
420,50,65,100,85,100,55
421,55,85,80,85,100,100
422,95,75,100,92,50,50
423,55,55,80,85,55,100
424,50,90,100,100,100,100
425,55,65,100,71,100,55
426,50,85,70,78,55,100
427,50,75,100,92,100,100
428,50,85,100,64,100,100
429,50,65,100,64,100,100
430,90,65,70,78,100,100
431,60,65,100,64,100,55
432,60,100,100,100,55,100
433,95,85,80,100,100,100
434,100,85,80,100,100,100
435,50,85,80,100,100,100
436,90,90,100,100,100,100
437,90,95,100,100,55,100
438,90,65,100,50,100,100
439,55,55,80,85,55,100
440,50,90,100,100,55,100
441,50,52,100,64,100,100
442,50,85,100,85,100,100
443,50,65,100,64,55,55
444,50,85,100,85,55,100
445,90,65,100,85,100,100
446,95,70,100,85,55,100
447,100,85,80,92,100,100
448,55,60,70,92,100,100
449,90,75,100,100,100,55
450,50,80,100,100,100,100
451,100,90,80,64,55,100
452,100,90,100,100,100,100
453,95,75,100,92,100,100
454,90,75,100,92,100,100
455,55,65,80,78,100,55
456,60,100,100,50,55,100
457,50,90,100,100,100,100
458,100,75,100,100,55,100
459,100,85,100,100,100,100
460,50,95,100,100,100,100
461,90,70,100,100,100,100
462,90,90,100,100,55,55
463,100,75,100,100,55,100
464,90,65,100,64,55,100
465,95,60,100,64,50,50
466,90,90,70,71,55,100
467,60,50,100,100,55,55
468,100,70,80,85,50,50
469,90,95,80,92,100,100
470,55,70,100,85,100,100
471,100,65,100,78,55,100
472,55,85,100,100,100,100
473,100,75,70,100,100,100
474,90,65,100,64,50,50
475,55,75,80,100,55,100
476,50,85,100,100,55,100
477,55,55,80,50,55,100
478,55,85,100,85,55,55
479,55,75,100,92,55,100
480,50,50,100,50,55,100
481,95,95,100,78,55,100
482,50,65,80,78,55,100
483,100,75,80,100,55,100
484,50,85,100,50,55,100
485,50,65,100,64,100,100
486,90,100,100,64,100,100
487,55,65,80,78,100,100
488,90,85,100,100,100,100
489,95,70,100,64,55,100
490,90,65,100,64,55,100
491,90,90,70,100,100,100
492,50,100,100,78,100,100
493,50,65,100,85,100,100
494,95,90,100,100,100,100
495,100,75,100,92,55,100
496,55,65,80,85,55,100
497,100,85,80,100,55,100
498,55,65,100,71,55,100
499,55,50,80,100,100,55
500,100,85,100,71,100,55
501,60,50,100,50,55,100
502,100,90,70,100,55,100
503,55,95,80,100,100,55
504,95,60,100,64,100,100
505,55,65,100,92,55,100
506,90,75,80,100,100,55
507,60,90,100,50,55,100
508,100,75,80,100,55,55
509,95,90,100,100,100,100
510,50,65,100,71,55,100
511,100,85,80,100,100,100
512,90,65,100,85,100,100
513,50,65,100,78,55,100
514,60,65,80,78,100,100
515,50,65,70,64,100,100
516,100,85,100,92,100,100
517,50,90,100,100,100,100
518,100,95,100,100,100,100
519,100,75,100,92,100,100
520,60,80,100,50,100,100
521,95,85,100,100,100,100
522,100,70,70,78,55,100
523,50,85,80,100,100,55
524,55,65,100,78,100,100
525,95,85,100,100,100,100
526,95,100,100,100,55,100
527,90,65,100,78,55,100
528,90,50,100,85,100,55
529,60,100,100,64,50,50
530,55,65,100,71,55,100
531,100,75,100,92,100,100
532,55,52,70,78,100,100
533,95,65,100,92,100,55
534,90,65,100,78,100,100
535,50,65,80,71,55,55
536,100,85,100,100,100,100
537,50,80,100,100,55,100
538,90,90,100,85,100,100
539,50,70,100,85,55,100
540,90,100,70,92,100,100
541,100,75,80,100,100,100
542,90,85,100,100,100,100
543,50,65,100,85,50,50
544,50,65,100,64,100,100
545,55,75,80,92,100,100
546,50,65,70,64,100,100
547,50,65,100,64,55,100
548,55,85,80,85,55,100
549,90,95,100,78,100,100
550,100,52,100,78,55,100
551,55,55,80,85,100,100
552,100,75,80,92,55,100
553,55,55,80,85,100,100
554,95,75,100,100,100,100
555,55,75,80,100,55,100
556,95,52,100,64,55,100
557,95,85,100,85,55,100
558,55,75,80,100,55,100
559,100,90,100,100,100,100
560,90,85,100,100,100,100
561,95,52,100,100,100,100
562,95,75,70,92,55,100
563,50,80,100,64,50,50
564,100,75,100,92,55,100
565,100,65,100,92,100,100
566,90,75,70,92,55,55
567,50,65,100,85,55,100
568,100,65,80,71,100,55
569,100,85,80,100,100,55
570,95,90,100,100,100,100
571,100,65,100,78,55,55
572,95,60,100,64,55,100
573,90,70,100,85,55,100
574,50,65,100,71,100,55
575,100,85,100,100,100,55
576,90,85,80,100,55,100
577,95,85,100,100,100,100
578,90,65,70,78,50,50
579,100,65,80,78,55,100
580,90,85,70,71,55,100
581,100,75,100,78,55,55
582,95,75,80,92,55,100
583,50,70,100,78,55,55
584,95,85,70,85,55,100
585,100,75,100,85,100,100
586,95,75,80,100,100,100
587,50,90,100,64,55,100
588,95,90,80,85,100,55
589,50,90,100,50,100,100
590,95,75,100,92,50,50
591,95,85,80,85,100,100
592,100,85,80,100,55,100
593,50,75,70,85,100,100
594,60,95,100,100,55,100
595,100,65,70,78,100,100
596,95,65,100,71,100,100
597,95,75,80,100,100,55
598,100,75,100,78,100,100
599,100,85,80,85,55,55
600,95,55,80,100,55,100
601,50,95,100,100,55,100
602,100,75,100,100,100,100
603,100,55,80,50,100,100
604,90,65,100,85,55,100
605,50,85,100,78,55,100
606,50,80,100,85,100,100
607,60,80,70,85,100,100
608,50,75,100,100,55,100
609,90,75,80,100,55,100
610,100,65,100,71,55,100
611,90,85,100,85,100,100
612,100,65,80,85,100,100
613,95,70,100,85,100,55
614,95,85,100,85,100,100
615,90,50,80,50,100,100
616,50,75,100,100,100,100
617,50,65,100,64,55,100
618,100,85,100,100,55,100
619,95,70,100,92,100,100
620,50,90,100,100,100,100
621,100,90,100,100,55,100
622,100,65,100,64,55,100
623,95,90,100,100,100,100
624,50,85,100,100,100,55
625,55,70,80,85,55,100
626,50,90,100,92,100,55
627,100,85,100,100,100,55
628,95,85,80,85,100,100
629,55,85,100,92,55,100
630,95,65,80,78,100,100
631,100,100,100,100,55,55
632,95,65,100,78,100,100
633,100,85,80,100,55,100
634,90,75,100,92,55,100
635,90,85,100,85,55,100
636,95,90,80,100,100,100
637,100,85,100,100,100,55
638,55,85,80,85,100,100
639,50,65,100,78,55,100
640,95,85,100,100,55,100
641,55,65,80,78,100,100
642,50,60,70,100,100,100
643,55,65,100,85,100,100
644,60,75,100,92,100,100
645,50,80,70,71,55,100
646,100,65,100,50,55,100
647,50,65,70,50,100,100
648,90,85,100,92,100,100
649,50,65,100,85,100,100
650,90,65,70,78,100,100
651,50,65,100,78,100,100
652,50,100,100,100,100,100
653,100,70,100,85,100,55
654,50,80,80,71,100,55
655,50,85,100,100,55,55
656,55,75,100,100,55,100
657,100,85,100,100,55,100
658,100,55,80,100,55,100
659,55,65,80,78,100,100
660,55,55,80,85,55,100
661,100,75,100,100,100,100
662,95,85,100,85,55,100
663,95,70,100,78,100,100
664,100,75,80,100,100,55
665,100,65,80,64,55,55
666,50,95,100,85,100,100
667,100,65,100,78,100,100
668,90,65,100,64,55,100
669,95,75,80,85,100,100
670,100,60,70,100,100,55
671,55,52,100,85,50,50
672,60,80,100,100,100,100
673,55,85,80,100,100,100
674,60,52,100,100,100,100
675,90,65,80,64,50,50
676,100,75,100,100,100,100
677,50,65,100,64,100,100
678,95,65,100,71,55,100
679,100,75,80,85,55,100
680,100,90,100,85,100,100
681,100,90,100,100,55,100
682,90,75,100,92,100,100
683,95,90,100,100,100,100
684,90,100,100,100,100,55
685,60,80,100,64,100,55
686,90,65,100,71,55,100
687,90,65,100,78,55,100
688,90,95,80,100,100,55
689,90,100,100,100,100,100
690,100,70,100,92,100,55
691,100,75,80,85,55,100
692,50,52,100,100,55,100
693,55,75,80,100,55,100
694,95,75,80,78,55,100
695,95,85,100,100,100,100
696,50,80,100,50,100,55
697,50,85,100,100,55,100
698,100,75,100,92,55,55
699,90,75,100,92,100,100
700,50,65,100,64,100,100
701,55,90,80,78,100,100
702,100,85,100,100,100,100
703,90,75,100,100,100,100
704,90,65,100,71,55,100
705,90,70,100,100,55,100
706,50,65,100,64,55,55
707,55,55,80,100,100,100
708,100,60,80,85,100,100
709,100,85,80,85,100,100
710,55,65,100,64,55,100
711,90,85,100,100,100,55
712,90,85,80,85,100,100
713,90,85,100,85,100,100
714,90,80,80,64,100,100
715,100,85,80,100,55,100
716,60,85,100,100,100,55
717,100,60,80,100,100,100
718,55,55,80,85,55,100
719,100,65,80,78,55,100
720,95,85,80,85,100,55
721,95,90,70,100,100,100
722,100,85,100,100,100,100
723,55,85,80,100,100,55
724,100,70,100,85,55,100
725,50,95,100,71,100,100
726,100,85,100,85,55,100
727,100,52,80,64,55,100
728,50,90,100,100,55,55
729,50,70,100,85,55,100
730,100,75,100,92,100,100
731,100,65,100,71,55,100
732,100,85,100,85,55,100
733,100,85,100,100,100,100
734,100,85,80,100,100,55
735,100,75,80,100,100,100
736,55,85,80,100,55,100
737,55,75,80,92,55,100
738,90,65,100,64,100,55
739,55,85,100,85,55,100
740,90,85,100,50,55,100
741,50,60,80,64,55,100
742,90,85,100,100,100,100
743,90,75,100,85,55,100
744,50,90,70,78,100,100
745,55,75,80,85,100,100
746,55,65,80,85,100,100
747,100,85,80,85,100,100
748,100,75,100,78,55,100
749,95,75,80,85,100,100
750,50,80,100,100,100,100
751,95,90,100,100,55,55
752,55,55,80,50,100,100
753,50,80,100,64,100,100
754,60,65,100,92,55,100
755,100,65,80,50,100,55
756,50,85,100,100,100,100
757,100,85,100,85,100,100
758,90,85,100,85,50,50
759,100,85,80,100,55,100
760,95,75,100,71,55,100
761,50,80,80,85,100,100
762,55,65,80,85,100,100
763,55,85,80,100,100,55
764,60,80,70,92,55,100
765,50,65,100,78,100,100
766,100,75,80,100,100,100
767,50,80,70,92,55,55
768,55,85,80,100,55,100
769,100,75,100,92,55,100
770,100,75,100,85,100,100
771,55,75,70,100,100,100
772,95,65,100,78,100,100
773,50,75,100,78,100,100
774,95,65,100,78,100,100
775,95,85,100,100,55,100
776,55,75,80,100,100,55
777,100,85,80,85,50,50
778,55,55,100,100,55,100
779,50,85,80,100,100,100
780,100,65,100,64,55,55
781,100,75,80,92,55,100
782,100,85,80,100,55,100
783,95,75,100,92,55,100
784,50,65,100,78,100,55
785,100,75,100,85,100,100
786,55,75,80,100,100,100
787,60,80,100,100,100,100
788,50,90,100,85,55,100
789,90,75,100,92,100,100
790,55,85,80,100,100,100
791,100,75,100,92,100,55
792,50,100,70,100,100,100
793,50,65,70,78,55,100
794,50,75,100,92,100,100
795,55,75,100,78,100,100
796,55,75,80,100,100,100
797,55,85,80,100,100,100
798,100,55,80,85,55,100
799,90,65,100,71,100,100
800,95,85,80,100,100,100
801,55,85,100,100,100,55
802,90,60,100,64,100,100
803,60,80,100,85,50,50
804,50,90,80,78,100,100
805,50,90,100,100,55,55
806,55,70,100,85,100,55
807,55,75,100,100,100,55
808,55,75,80,92,100,100
809,55,75,80,92,100,100
810,90,85,80,85,100,100
811,90,65,100,64,100,100
812,50,90,100,100,55,55
813,90,85,100,100,100,100
814,50,70,100,85,55,100
815,50,65,80,64,55,100
816,50,70,100,92,100,55
817,100,85,100,85,55,100
818,55,85,80,100,100,55
819,100,75,100,92,100,55
820,95,70,100,85,55,100
821,50,85,80,100,55,100
822,95,70,70,78,100,100
823,50,60,70,64,55,100
824,100,70,80,85,100,100
825,55,65,100,78,55,55
826,100,85,70,100,100,100
827,50,75,100,100,55,100
828,90,65,100,64,50,50
829,50,65,100,92,100,100
830,95,75,80,92,50,50
831,55,85,80,100,100,100
832,50,85,80,100,100,100
833,55,75,100,85,55,100
834,55,65,80,64,100,100
835,50,75,100,92,55,100
836,100,65,100,71,100,100
837,100,85,80,100,55,100
838,50,65,100,64,55,100
839,55,100,100,64,55,100
840,60,85,100,100,55,100
841,50,65,100,64,55,100
842,95,65,70,78,55,55
843,100,90,100,100,100,100
844,95,85,80,85,55,100
845,90,90,100,50,100,100
846,90,85,100,100,100,55
847,50,65,100,64,100,55
848,55,85,80,100,55,100
849,90,52,100,92,100,100
850,50,65,100,64,55,100
851,90,85,100,50,100,100
852,100,85,100,85,55,100
853,90,85,70,100,55,100
854,90,85,100,100,55,100
855,100,75,80,100,100,55
856,55,65,80,78,100,100
857,90,65,100,64,100,100
858,95,65,100,78,100,100
859,50,100,100,92,100,55
860,100,65,80,92,55,100
861,55,55,80,50,100,100
862,90,90,100,85,55,100
863,95,70,70,78,100,100
864,50,85,100,100,100,100
865,95,75,100,100,55,100
866,95,85,80,92,55,100
867,100,65,100,64,55,100
868,90,85,100,78,55,100
869,95,70,80,78,55,100
870,95,65,80,78,55,100
871,60,85,100,100,55,100
872,100,75,100,92,100,100
873,55,85,100,50,55,100
874,50,85,100,85,100,100
875,55,75,80,85,55,100
876,60,75,100,64,55,100
877,50,85,100,100,55,100
878,50,75,100,92,55,55
879,90,65,80,64,55,100
880,95,90,70,100,55,100
881,50,85,80,71,100,55
882,95,95,50,100,55,100
883,55,70,100,85,55,100
884,55,65,80,78,100,100
885,50,70,70,85,55,100
886,50,75,100,100,55,100
887,100,70,80,85,100,100
888,100,60,80,92,100,55
889,50,85,70,100,55,100
890,50,95,70,100,100,55
891,55,65,100,78,100,100
892,100,65,100,78,100,55
893,95,85,100,85,55,100
894,50,60,100,64,55,55
895,55,100,100,78,55,100
896,50,95,100,64,50,50
897,55,85,100,100,100,55
898,95,65,100,71,55,100
899,55,55,80,50,100,55
900,100,52,100,78,100,100
901,100,65,100,78,100,100
902,95,85,100,100,100,100
903,60,85,80,85,100,100
904,95,75,70,50,100,55
905,50,80,70,92,55,100
906,55,65,80,78,100,55
907,50,90,100,100,55,55
908,55,55,80,85,100,55
909,90,90,100,100,55,100
910,90,85,100,78,55,100
911,100,75,100,100,55,100
912,95,55,80,50,100,100
913,90,75,80,100,55,55
914,100,70,80,85,100,100
915,90,95,80,85,55,100
916,50,70,100,85,55,100
917,55,65,80,71,55,100
918,95,65,100,78,100,55
919,50,95,70,78,100,100
920,100,70,80,85,100,100
921,95,85,100,85,100,100
922,55,85,80,100,55,100
923,50,75,70,92,55,100
924,95,95,80,92,100,100
925,55,75,80,92,55,100
926,100,65,100,78,100,100
927,90,70,100,85,100,55
928,95,65,100,78,100,100
929,90,65,100,78,55,100
930,50,65,100,78,100,100
931,55,85,100,85,55,100
932,95,85,80,100,100,100
933,100,70,70,85,100,55
934,100,65,80,78,100,100
935,100,65,100,78,55,100
936,55,50,100,50,100,100
937,100,90,100,100,100,100
938,90,65,100,64,100,100
939,100,85,80,85,55,100
940,90,85,100,78,100,100
941,95,65,100,71,100,100
942,60,80,100,92,100,100
943,50,90,100,78,100,100
944,60,80,100,92,55,100
945,100,85,80,100,50,50
946,90,75,100,78,100,100
947,95,85,100,100,100,100
948,100,85,100,92,100,100
949,90,50,100,50,55,100
950,100,85,80,85,55,100
951,100,75,80,85,100,55
952,55,65,70,78,100,100
953,95,85,80,78,100,100
954,55,85,80,85,100,55
955,100,85,80,71,55,100
956,55,85,100,85,100,55
957,100,65,100,85,55,100
958,50,85,100,85,100,100
959,95,75,70,78,55,100
960,50,65,80,78,100,100
961,50,70,70,85,100,100
962,95,70,100,85,100,55
963,100,70,100,85,50,50
964,95,75,100,100,100,55
965,100,75,80,100,100,100
966,100,100,100,85,100,100
967,50,90,100,100,100,100
968,50,65,100,78,55,55
969,55,75,70,100,100,100
970,50,90,100,100,55,100
971,100,85,100,85,100,100
972,60,85,100,71,55,100
973,50,52,100,92,55,100
974,50,65,100,71,100,100
975,100,90,100,100,100,55
976,50,70,100,100,55,100
977,55,55,80,78,100,100
978,100,75,100,100,55,100
979,100,65,100,78,100,100
980,55,75,100,85,55,100
981,100,75,80,85,55,100
982,55,55,80,50,55,100
983,50,65,100,78,55,55
984,55,85,80,100,100,55
985,90,65,100,50,55,55
986,50,80,100,78,100,55
987,55,85,80,100,100,100
988,100,75,100,78,100,100
989,50,65,100,78,100,100
990,95,75,100,92,100,100
991,90,65,100,64,100,55
992,100,70,100,78,100,100
993,55,65,100,71,100,100
994,95,95,80,100,55,55
995,95,100,100,85,55,100
996,100,100,100,85,100,100
